,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Income_Category,Employment_Status
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-18772.0,1,0,0,0,Others,2,1,51.0,Medium,0
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,1,1,1,0,Others,2,1,37.0,Medium,1
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,1,1,1,0,Others,2,1,37.0,Medium,1
6,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,1,1,1,0,Others,2,1,37.0,Medium,1
7,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22134.0,1,0,0,0,Others,2,1,60.0,Medium,0
8,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173.0,1,0,1,1,Core staff,3,1,49.0,Medium,1
9,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173.0,1,0,1,1,Core staff,3,1,49.0,Medium,1
10,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173.0,1,0,1,1,Core staff,1,1,49.0,Medium,1
11,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,1,1,1,0,Cooking staff,2,1,51.0,Low,1
13,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,1,1,1,0,Cooking staff,2,1,51.0,Low,1
14,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,-8907.0,1,0,0,1,Others,3,1,24.0,Medium,1
15,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,1,0,0,0,Laborers,2,1,46.0,Medium,1
16,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896.0,1,0,0,0,Laborers,2,1,46.0,Medium,1
17,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,1,0,0,0,Sales staff,1,1,51.0,Medium,1
18,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,1,0,0,0,Sales staff,1,1,51.0,Medium,1
19,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18863.0,1,0,0,1,Others,2,1,51.0,Low,1
20,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811.0,1,0,0,0,Others,1,1,35.0,Medium,1
21,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022.0,1,0,0,1,Laborers,2,1,32.0,Medium,1
22,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800.0,1,0,0,0,Accountants,2,1,48.0,Medium,1
23,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135.0,1,0,0,0,Sales staff,4,1,33.0,Medium,1
24,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15976.0,1,0,0,0,Laborers,2,1,43.0,Medium,1
25,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702.0,1,0,1,0,Others,2,1,43.0,High,1
26,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,1,0,1,0,Others,2,1,59.0,Medium,0
29,5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996.0,1,0,0,0,Managers,2,1,54.0,High,1
30,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-12026.0,1,0,0,0,Cleaning staff,2,1,32.0,Low,1
31,5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21876.0,1,0,1,1,Others,2,1,59.0,Medium,0
32,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-10749.0,1,0,0,0,Laborers,1,1,29.0,Medium,1
33,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15952.0,1,1,0,0,Sales staff,3,1,43.0,Medium,1
34,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13015.0,1,0,0,0,Others,2,1,35.0,Medium,1
35,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-20333.0,1,0,0,0,Drivers,2,1,55.0,Medium,1
36,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-21055.0,1,0,0,0,Drivers,2,1,57.0,Medium,1
37,5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23835.0,1,0,0,0,Others,2,1,65.0,Low,0
38,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19175.0,1,0,1,0,Laborers,2,1,52.0,Medium,1
39,5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,-16169.0,1,1,1,0,Others,1,1,44.0,Medium,1
40,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-16053.0,1,1,1,0,Others,4,1,43.0,Medium,1
41,5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286.0,1,0,0,0,Others,1,1,63.0,Medium,0
42,5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286.0,1,0,0,0,Others,1,1,63.0,Medium,0
43,5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286.0,1,0,0,0,Others,1,1,63.0,Medium,0
44,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15466.0,1,0,1,0,Low-skill Laborers,3,1,42.0,Medium,1
45,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15466.0,1,0,1,0,Low-skill Laborers,3,1,42.0,Medium,1
46,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18880.0,1,0,0,0,Accountants,3,1,51.0,Low,1
47,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,1,0,0,0,Laborers,3,1,30.0,Medium,1
48,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,1,0,0,0,Laborers,3,1,30.0,Medium,1
49,5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,1,1,0,0,Laborers,2,1,50.0,Medium,1
50,5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,1,1,0,0,Laborers,2,1,50.0,Medium,1
51,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-11610.0,1,1,1,0,High skill tech staff,1,1,31.0,Medium,1
52,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,1,0,0,0,Laborers,3,1,26.0,Medium,1
53,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,1,0,0,0,Laborers,3,1,26.0,Medium,1
54,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,1,0,0,1,IT staff,2,1,28.0,Medium,1
55,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,1,0,0,1,IT staff,2,1,28.0,Medium,1
56,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,1,0,0,0,Drivers,2,1,49.0,Medium,1
57,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,1,0,0,0,Drivers,2,1,49.0,Medium,1
58,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,1,0,0,0,Drivers,2,1,49.0,Medium,1
59,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667.0,1,1,0,0,Managers,2,1,51.0,Medium,1
60,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,1,0,0,0,Drivers,3,1,44.0,Medium,1
61,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,1,0,0,0,Drivers,1,1,44.0,Medium,1
62,5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16611.0,1,0,0,0,Others,4,1,45.0,Medium,1
63,5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16611.0,1,0,0,0,Others,4,1,45.0,Medium,1
64,5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,1,0,0,0,Others,1,1,67.0,Low,0
66,5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,1,0,0,0,Others,1,1,67.0,Low,0
67,5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,1,0,0,0,Others,1,1,67.0,Low,0
68,5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,1,0,0,0,Sales staff,1,1,25.0,Medium,1
69,5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,1,0,0,0,Sales staff,1,1,25.0,Medium,1
71,5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,-20872.0,1,0,0,0,Others,2,1,57.0,Low,0
72,5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,-23423.0,1,0,0,0,Others,2,1,64.0,Low,0
73,5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21664.0,1,0,1,0,Others,2,1,59.0,Medium,0
74,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122.0,1,0,0,1,Waiters/barmen staff,3,1,24.0,Low,1
75,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,1,0,0,0,Laborers,2,1,35.0,Medium,1
77,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-15160.0,1,0,0,0,High skill tech staff,2,1,41.0,Medium,1
78,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19004.0,1,0,0,0,Others,2,1,52.0,Medium,1
79,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-9510.0,1,0,0,0,Laborers,3,1,26.0,Medium,1
80,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-14052.0,1,0,1,0,Sales staff,2,1,38.0,Medium,1
81,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13581.0,1,0,0,0,Others,2,1,37.0,Medium,1
83,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-11210.0,1,1,0,0,Accountants,2,1,30.0,Medium,1
